NAMA_PROVINSI,IKS_median,IKE_median,IKL_median,NILAI_IDM_median,STATUS_IDM_modus,jumlah_desa
ACEH,0.7429,0.5833,0.6667,0.6778,BERKEMBANG,6497
BALI,0.88,0.8,0.9333,0.86895,MANDIRI,636
BANTEN,0.7771,0.6167,0.6667,0.68425,BERKEMBANG,1238
BENGKULU,0.7714,0.6,0.7333,0.7071,BERKEMBANG,1341
DAERAH ISTIMEWA YOGYAKARTA,0.88,0.7833,0.9333,0.84605,MANDIRI,392
GORONTALO,0.8057,0.6667,0.8667,0.7513,MAJU,657
JAMBI,0.8057,0.6667,0.7333,0.73195,BERKEMBANG,1414
JAWA BARAT,0.8571,0.7333,0.8,0.8076,MANDIRI,5311
JAWA TENGAH,0.8057,0.6667,0.7333,0.7429,MAJU,7810
JAWA TIMUR,0.8286,0.7333,0.8667,0.8173,MANDIRI,7721
KALIMANTAN BARAT,0.8343,0.7,0.8667,0.8203,MANDIRI,2046
KALIMANTAN SELATAN,0.8057,0.7167,0.8667,0.8019,MAJU,1871
KALIMANTAN TENGAH,0.7771,0.5833,0.8,0.70435,BERKEMBANG,1432
KALIMANTAN TIMUR,0.8171,0.6833,0.8667,0.7671,MAJU,841
KALIMANTAN UTARA,0.7771,0.55,0.6667,0.6675,BERKEMBANG,447
KEPULAUAN BANGKA BELITUNG,0.8571,0.7333,0.8667,0.8156,MANDIRI,309
KEPULAUAN RIAU,0.8057,0.65,0.6667,0.7197,MAJU,275
LAMPUNG,0.8286,0.65,0.6667,0.7263999999999999,MAJU,2446
MALUKU,0.7486,0.5,0.8,0.6735,BERKEMBANG,1200
MALUKU UTARA,0.68,0.45,0.6667,0.6098,BERKEMBANG,1067
NUSA TENGGARA BARAT,0.8343,0.7,0.8667,0.7903,MAJU,1021
NUSA TENGGARA TIMUR,0.7143,0.5,0.6667,0.6271,BERKEMBANG,3137
PAPUA,0.6514,0.3833,0.6667,0.5857,BERKEMBANG,948
PAPUA BARAT,0.6,0.3333,0.6667,0.5506,TERTINGGAL,803
PAPUA BARAT DAYA,0.5829,0.3333,0.6667,0.52,TERTINGGAL,939
PAPUA PEGUNUNGAN,0.4571,0.25,0.6,0.4316,SANGAT TERTINGGAL,2617
PAPUA SELATAN,0.6,0.3,0.6667,0.4992,SANGAT TERTINGGAL,677
PAPUA TENGAH,0.4914,0.25,0.6,0.45404999999999995,SANGAT TERTINGGAL,1172
RIAU,0.84,0.7667,0.9333,0.8224,MANDIRI,1591
SULAWESI BARAT,0.7714,0.55,0.6667,0.6621,BERKEMBANG,575
SULAWESI SELATAN,0.8057,0.6833,0.8,0.7569,MAJU,2266
SULAWESI TENGAH,0.8,0.6167,0.8,0.7207,MAJU,1842
SULAWESI TENGGARA,0.7657,0.6167,0.6667,0.6886,BERKEMBANG,1908
SULAWESI UTARA,0.8114,0.7,0.8667,0.7965,MANDIRI,1507
SUMATERA BARAT,0.8229,0.7167,0.8,0.7778,MAJU,1035
SUMATERA SELATAN,0.7771,0.6333,0.6667,0.6975,BERKEMBANG,2855
SUMATERA UTARA,0.7257,0.55,0.6667,0.6511,BERKEMBANG,5417
